期号,正码1,正码2,正码3,正码4,正码5,正码6,特码,生肖,波色,大小,单双,开奖时间,正码1生肖,正码2生肖,正码3生肖,正码4生肖,正码5生肖,正码6生肖
20260816089,8,39,48,40,37,46,19,鼠,红波,小,单,2026-08-16 04:24:00,猪,龙,羊,兔,马,鸡
20260816090,11,36,10,3,21,45,4,兔,蓝波,小,双,2026-08-16 04:27:00,猴,羊,鸡,龙,狗,狗
20260816091,37,4,25,3,46,49,8,猪,红波,小,双,2026-08-16 04:30:00,马,兔,马,龙,鸡,马
20260816092,24,11,33,16,30,5,28,兔,绿波,大,双,2026-08-16 04:33:00,羊,猴,狗,兔,牛,虎
20260816093,30,31,23,39,42,8,17,虎,绿波,小,单,2026-08-16 04:36:00,牛,鼠,猴,龙,牛,猪
20260816094,37,43,42,41,34,39,21,狗,绿波,小,单,2026-08-16 04:39:00,马,鼠,牛,虎,鸡,龙
20260816095,48,10,1,47,37,24,35,猴,红波,大,单,2026-08-16 04:42:00,羊,鸡,马,猴,马,羊
20260816096,37,18,11,48,28,6,1,马,红波,小,单,2026-08-16 04:45:00,马,牛,猴,羊,兔,牛
20260816097,22,32,11,38,40,43,4,兔,蓝波,小,双,2026-08-16 04:48:00,鸡,猪,猴,蛇,兔,鼠
20260816098,17,49,13,7,18,5,43,鼠,绿波,大,单,2026-08-16 04:51:00,虎,马,马,鼠,牛,虎
20260816099,12,33,4,42,43,18,19,鼠,红波,小,单,2026-08-16 04:54:00,羊,狗,兔,牛,鼠,牛
20260816100,40,29,38,48,8,27,11,猴,绿波,小,单,2026-08-16 04:57:00,兔,虎,蛇,羊,猪,龙
20260816101,22,3,10,29,27,33,15,龙,蓝波,小,单,2026-08-16 05:00:00,鸡,龙,鸡,虎,龙,狗
20260816102,3,6,5,9,48,20,11,猴,绿波,小,单,2026-08-16 05:03:00,龙,牛,虎,狗,羊,猪
20260816103,17,14,21,23,12,6,35,猴,红波,大,单,2026-08-16 05:06:00,虎,蛇,狗,猴,羊,牛
20260816104,26,13,9,24,28,33,5,虎,绿波,小,单,2026-08-16 05:09:00,蛇,马,狗,羊,兔,狗
20260816105,5,29,32,42,19,47,1,马,红波,小,单,2026-08-16 05:12:00,虎,虎,猪,牛,鼠,猴
20260816106,49,2,8,30,26,38,5,虎,绿波,小,单,2026-08-16 05:15:00,马,蛇,猪,牛,蛇,蛇
20260816107,21,23,36,38,7,20,22,鸡,绿波,小,双,2026-08-16 05:18:00,狗,猴,羊,蛇,鼠,猪
20260816108,34,10,16,27,36,35,42,牛,蓝波,大,双,2026-08-16 05:21:00,鸡,鸡,兔,龙,羊,猴
20260816109,26,5,2,10,42,12,17,虎,绿波,小,单,2026-08-16 05:24:00,蛇,虎,蛇,鸡,牛,羊
20260816110,27,12,6,44,19,42,43,鼠,绿波,大,单,2026-08-16 05:27:00,龙,羊,牛,猪,鼠,牛
20260816111,42,18,8,7,1,6,27,龙,绿波,大,单,2026-08-16 05:30:00,牛,牛,猪,鼠,马,牛
20260816112,15,10,18,46,45,26,40,兔,红波,大,双,2026-08-16 05:33:00,龙,鸡,牛,鸡,狗,蛇
20260816113,21,30,28,13,6,4,31,鼠,蓝波,大,单,2026-08-16 05:36:00,狗,牛,兔,马,牛,兔
20260816114,42,47,34,10,5,39,48,羊,蓝波,大,双,2026-08-16 05:39:00,牛,猴,鸡,鸡,虎,龙
20260816115,7,41,21,25,45,39,22,鸡,绿波,小,双,2026-08-16 05:42:00,鼠,虎,狗,马,狗,龙
20260816116,20,48,46,34,24,37,43,鼠,绿波,大,单,2026-08-16 05:45:00,猪,羊,鸡,鸡,羊,马
20260816117,49,43,41,6,19,25,18,牛,红波,小,双,2026-08-16 05:48:00,马,鼠,虎,牛,鼠,马
20260816118,30,6,32,46,19,16,5,虎,绿波,小,单,2026-08-16 05:51:00,牛,牛,猪,鸡,鼠,兔
20260816119,24,6,28,2,48,27,40,兔,红波,大,双,2026-08-16 05:54:00,羊,牛,兔,蛇,羊,龙
20260816120,6,26,1,37,25,11,14,蛇,蓝波,小,双,2026-08-16 05:57:00,牛,蛇,马,马,马,猴
20260816121,12,16,26,35,6,32,9,狗,蓝波,小,单,2026-08-16 06:00:00,羊,兔,蛇,猴,牛,猪
20260816122,24,2,39,30,44,28,37,马,蓝波,大,单,2026-08-16 06:03:00,羊,蛇,龙,牛,猪,兔
20260816123,22,34,44,7,12,43,47,猴,蓝波,大,单,2026-08-16 06:06:00,鸡,鸡,猪,鼠,羊,鼠
20260816124,44,38,8,20,39,6,49,马,绿波,大,单,2026-08-16 06:09:00,猪,蛇,猪,猪,龙,牛
20260816125,25,46,14,22,32,5,42,牛,蓝波,大,双,2026-08-16 06:12:00,马,鸡,蛇,鸡,猪,虎
20260816126,33,13,2,16,6,8,20,猪,蓝波,小,双,2026-08-16 06:15:00,狗,马,蛇,兔,牛,猪
20260816127,21,31,23,37,30,12,7,鼠,红波,小,单,2026-08-16 06:18:00,狗,鼠,猴,马,牛,羊
20260816128,4,3,31,18,9,12,25,马,蓝波,大,单,2026-08-16 06:21:00,兔,龙,鼠,牛,狗,羊
20260816129,40,11,20,12,46,13,22,鸡,绿波,小,双,2026-08-16 06:24:00,兔,猴,猪,羊,鸡,马
20260816130,7,33,37,18,41,13,22,鸡,绿波,小,双,2026-08-16 06:27:00,鼠,狗,马,牛,虎,马
20260816131,30,48,2,34,11,37,9,狗,蓝波,小,单,2026-08-16 06:30:00,牛,羊,蛇,鸡,猴,马
20260816132,41,46,19,43,42,48,7,鼠,红波,小,单,2026-08-16 06:33:00,虎,鸡,鼠,鼠,牛,羊
20260816133,2,19,33,20,30,28,36,羊,蓝波,大,双,2026-08-16 06:36:00,蛇,鼠,狗,猪,牛,兔
20260816134,10,15,41,37,26,3,31,鼠,蓝波,大,单,2026-08-16 06:39:00,鸡,龙,虎,马,蛇,龙
20260816135,8,1,21,12,17,41,2,蛇,红波,小,双,2026-08-16 06:42:00,猪,马,狗,羊,虎,虎
20260816136,30,40,48,49,13,23,7,鼠,红波,小,单,2026-08-16 06:45:00,牛,兔,羊,马,马,猴
20260816137,26,24,4,17,12,16,49,马,绿波,大,单,2026-08-16 06:48:00,蛇,羊,兔,虎,羊,兔
20260816138,16,44,46,22,2,39,4,兔,蓝波,小,双,2026-08-16 06:51:00,兔,猪,鸡,鸡,蛇,龙
20260816139,45,8,14,4,15,12,29,虎,红波,大,单,2026-08-16 06:54:00,狗,猪,蛇,兔,龙,羊
20260816140,20,48,13,2,19,26,39,龙,绿波,大,单,2026-08-16 06:57:00,猪,羊,马,蛇,鼠,蛇
20260816141,11,8,38,28,42,27,13,马,红波,小,单,2026-08-16 07:00:00,猴,猪,蛇,兔,牛,龙
20260816142,45,41,25,39,33,40,6,牛,绿波,小,双,2026-08-16 07:03:00,狗,虎,马,龙,狗,兔
20260816143,1,42,2,29,45,20,33,狗,绿波,大,单,2026-08-16 07:06:00,马,牛,蛇,虎,狗,猪
20260816144,8,9,1,41,47,5,20,猪,蓝波,小,双,2026-08-16 07:09:00,猪,狗,马,虎,猴,虎
20260816145,17,46,36,26,15,14,9,狗,蓝波,小,单,2026-08-16 07:12:00,虎,鸡,羊,蛇,龙,蛇
20260816146,33,32,27,37,3,22,26,蛇,蓝波,大,双,2026-08-16 07:15:00,狗,猪,龙,马,龙,鸡
20260816147,45,26,5,14,16,36,17,虎,绿波,小,单,2026-08-16 07:18:00,狗,蛇,虎,蛇,兔,羊
20260816148,38,3,37,11,17,35,31,鼠,蓝波,大,单,2026-08-16 07:21:00,蛇,龙,马,猴,虎,猴
20260816149,2,46,15,5,48,12,4,兔,蓝波,小,双,2026-08-16 07:24:00,蛇,鸡,龙,虎,羊,羊
20260816150,4,5,40,34,2,24,7,鼠,红波,小,单,2026-08-16 07:27:00,兔,虎,兔,鸡,蛇,羊
20260816151,1,27,2,49,11,14,47,猴,蓝波,大,单,2026-08-16 07:30:00,马,龙,蛇,马,猴,蛇
20260816152,11,49,8,18,29,43,16,兔,绿波,小,双,2026-08-16 07:33:00,猴,马,猪,牛,虎,鼠
20260816153,47,46,37,8,13,2,33,狗,绿波,大,单,2026-08-16 07:36:00,猴,鸡,马,猪,马,蛇
20260816154,9,3,41,11,15,16,10,鸡,蓝波,小,双,2026-08-16 07:39:00,狗,龙,虎,猴,龙,兔
20260816155,32,48,24,40,46,29,36,羊,蓝波,大,双,2026-08-16 07:42:00,猪,羊,羊,兔,鸡,虎
20260816156,12,29,28,38,41,22,44,猪,绿波,大,双,2026-08-16 07:45:00,羊,虎,兔,蛇,虎,鸡
20260816157,24,49,44,18,28,8,43,鼠,绿波,大,单,2026-08-16 07:48:00,羊,马,猪,牛,兔,猪
20260816158,7,11,36,15,31,40,28,兔,绿波,大,双,2026-08-16 07:51:00,鼠,猴,羊,龙,鼠,兔
20260816159,36,42,46,7,48,34,1,马,红波,小,单,2026-08-16 07:54:00,羊,牛,鸡,鼠,羊,鸡
20260816160,31,40,46,25,8,32,1,马,红波,小,单,2026-08-16 07:57:00,鼠,兔,鸡,马,猪,猪
20260816161,45,43,37,42,23,11,16,兔,绿波,小,双,2026-08-16 08:00:00,狗,鼠,马,牛,猴,猴
20260816162,39,47,44,4,22,38,12,羊,红波,小,双,2026-08-16 08:03:00,龙,猴,猪,兔,鸡,蛇
20260816163,19,41,5,48,22,28,7,鼠,红波,小,单,2026-08-16 08:06:00,鼠,虎,虎,羊,鸡,兔
20260816164,49,35,8,41,42,21,37,马,蓝波,大,单,2026-08-16 08:09:00,马,猴,猪,虎,牛,狗
20260816165,32,19,7,35,4,22,28,兔,绿波,大,双,2026-08-16 08:12:00,猪,鼠,鼠,猴,兔,鸡
20260816166,1,30,10,49,15,39,12,羊,红波,小,双,2026-08-16 08:15:00,马,牛,鸡,马,龙,龙
20260816167,25,42,23,35,19,3,41,虎,蓝波,大,单,2026-08-16 08:18:00,马,牛,猴,猴,鼠,龙
20260816168,10,3,8,32,7,47,21,狗,绿波,小,单,2026-08-16 08:21:00,鸡,龙,猪,猪,鼠,猴
20260816169,37,28,40,2,22,18,16,兔,绿波,小,双,2026-08-16 08:24:00,马,兔,兔,蛇,鸡,牛
20260816170,42,38,48,29,25,4,30,牛,红波,大,双,2026-08-16 08:27:00,牛,蛇,羊,虎,马,兔
20260816171,35,46,12,8,47,11,23,猴,红波,小,单,2026-08-16 08:30:00,猴,鸡,羊,猪,猴,猴
20260816172,14,10,31,8,43,7,1,马,红波,小,单,2026-08-16 08:33:00,蛇,鸡,鼠,猪,鼠,鼠
20260816173,1,27,8,24,15,29,48,羊,蓝波,大,双,2026-08-16 08:36:00,马,龙,猪,羊,龙,虎
20260816174,3,24,7,15,4,9,18,牛,红波,小,双,2026-08-16 08:39:00,龙,羊,鼠,龙,兔,狗
20260816175,17,13,33,39,49,15,9,狗,蓝波,小,单,2026-08-16 08:42:00,虎,马,狗,龙,马,龙
20260816176,24,35,28,39,32,9,41,虎,蓝波,大,单,2026-08-16 08:45:00,羊,猴,兔,龙,猪,狗
20260816177,15,22,10,42,45,28,41,虎,蓝波,大,单,2026-08-16 08:48:00,龙,鸡,鸡,牛,狗,兔
20260816178,37,26,29,19,36,15,35,猴,红波,大,单,2026-08-16 08:51:00,马,蛇,虎,鼠,羊,龙
20260816179,7,48,3,32,42,41,11,猴,绿波,小,单,2026-08-16 08:54:00,鼠,羊,龙,猪,牛,虎
20260816180,4,2,28,38,3,32,44,猪,绿波,大,双,2026-08-16 08:57:00,兔,蛇,兔,蛇,龙,猪
20260816181,25,49,46,7,12,42,28,兔,绿波,大,双,2026-08-16 09:00:00,马,马,鸡,鼠,羊,牛
20260816182,11,16,37,1,42,13,25,马,蓝波,大,单,2026-08-16 09:03:00,猴,兔,马,马,牛,马
20260816183,16,12,32,24,45,49,28,兔,绿波,大,双,2026-08-16 09:06:00,兔,羊,猪,羊,狗,马
20260816184,26,11,29,12,30,22,21,狗,绿波,小,单,2026-08-16 09:09:00,蛇,猴,虎,羊,牛,鸡
20260816185,5,36,12,4,39,27,7,鼠,红波,小,单,2026-08-16 09:12:00,虎,羊,羊,兔,龙,龙
20260816186,2,38,27,28,48,5,32,猪,绿波,大,双,2026-08-16 09:15:00,蛇,蛇,龙,兔,羊,虎
20260816187,27,6,7,16,26,45,3,龙,蓝波,小,单,2026-08-16 09:18:00,龙,牛,鼠,兔,蛇,狗
20260816188,9,26,34,16,7,15,22,鸡,绿波,小,双,2026-08-16 09:21:00,狗,蛇,鸡,兔,鼠,龙
20260816189,9,29,42,35,33,39,17,虎,绿波,小,单,2026-08-16 09:24:00,狗,虎,牛,猴,狗,龙
20260816190,28,43,31,14,20,26,1,马,红波,小,单,2026-08-16 09:27:00,兔,鼠,鼠,蛇,猪,蛇
20260816191,29,35,10,11,49,46,23,猴,红波,小,单,2026-08-16 09:30:00,虎,猴,鸡,猴,马,鸡
20260816192,11,9,8,24,47,15,18,牛,红波,小,双,2026-08-16 09:33:00,猴,狗,猪,羊,猴,龙
20260816193,12,13,9,14,11,41,2,蛇,红波,小,双,2026-08-16 09:36:00,羊,马,狗,蛇,猴,虎
20260816194,37,4,6,35,21,47,14,蛇,蓝波,小,双,2026-08-16 09:39:00,马,兔,牛,猴,狗,猴
20260816195,6,24,47,2,35,27,43,鼠,绿波,大,单,2026-08-16 09:42:00,牛,羊,猴,蛇,猴,龙
20260816196,23,31,22,6,49,30,17,虎,绿波,小,单,2026-08-16 09:45:00,猴,鼠,鸡,牛,马,牛
20260816197,31,44,48,33,41,36,17,虎,绿波,小,单,2026-08-16 09:48:00,鼠,猪,羊,狗,虎,羊
20260816198,4,14,16,21,25,35,28,兔,绿波,大,双,2026-08-16 09:51:00,兔,蛇,兔,狗,马,猴
20260816199,19,21,40,25,46,36,4,兔,蓝波,小,双,2026-08-16 09:54:00,鼠,狗,兔,马,鸡,羊
20260816200,42,39,46,4,9,22,28,兔,绿波,大,双,2026-08-16 09:57:00,牛,龙,鸡,兔,狗,鸡
20260816201,35,40,13,21,12,38,24,羊,红波,小,双,2026-08-16 10:00:00,猴,兔,马,狗,羊,蛇
20260816202,10,23,20,49,27,26,36,羊,蓝波,大,双,2026-08-16 10:03:00,鸡,猴,猪,马,龙,蛇
20260816203,48,22,27,16,4,9,21,狗,绿波,小,单,2026-08-16 10:06:00,羊,鸡,龙,兔,兔,狗
20260816204,41,40,44,6,31,46,17,虎,绿波,小,单,2026-08-16 10:09:00,虎,兔,猪,牛,鼠,鸡
20260816205,44,11,12,46,41,16,10,鸡,蓝波,小,双,2026-08-16 10:12:00,猪,猴,羊,鸡,虎,兔
20260816206,1,42,11,49,4,14,39,龙,绿波,大,单,2026-08-16 10:15:00,马,牛,猴,马,兔,蛇
20260816207,27,6,22,19,17,16,28,兔,绿波,大,双,2026-08-16 10:18:00,龙,牛,鸡,鼠,虎,兔
20260816208,47,35,23,25,15,21,18,牛,红波,小,双,2026-08-16 10:21:00,猴,猴,猴,马,龙,狗
20260816209,14,24,32,29,11,13,15,龙,蓝波,小,单,2026-08-16 10:24:00,蛇,羊,猪,虎,猴,马
20260816210,28,38,14,35,11,26,15,龙,蓝波,小,单,2026-08-16 10:27:00,兔,蛇,蛇,猴,猴,蛇
20260816211,29,48,24,32,36,22,17,虎,绿波,小,单,2026-08-16 10:30:00,虎,羊,羊,猪,羊,鸡
20260816212,12,49,26,5,39,13,17,虎,绿波,小,单,2026-08-16 10:33:00,羊,马,蛇,虎,龙,马
20260816213,35,36,25,44,26,38,6,牛,绿波,小,双,2026-08-16 10:36:00,猴,羊,马,猪,蛇,蛇
20260816214,49,38,16,1,4,44,24,羊,红波,小,双,2026-08-16 10:39:00,马,蛇,兔,马,兔,猪
20260816215,38,16,34,25,19,37,48,羊,蓝波,大,双,2026-08-16 10:42:00,蛇,兔,鸡,马,鼠,马
20260816216,3,38,13,42,30,23,26,蛇,蓝波,大,双,2026-08-16 10:45:00,龙,蛇,马,牛,牛,猴
20260816217,12,42,46,8,10,41,22,鸡,绿波,小,双,2026-08-16 10:48:00,羊,牛,鸡,猪,鸡,虎
20260816218,11,28,2,44,38,42,45,狗,红波,大,单,2026-08-16 10:51:00,猴,兔,蛇,猪,蛇,牛
20260816219,49,43,23,2,26,44,21,狗,绿波,小,单,2026-08-16 10:54:00,马,鼠,猴,蛇,蛇,猪
20260816220,32,7,45,43,11,22,28,兔,绿波,大,双,2026-08-16 10:57:00,猪,鼠,狗,鼠,猴,鸡
20260816221,17,7,26,46,31,1,49,马,绿波,大,单,2026-08-16 11:00:00,虎,鼠,蛇,鸡,鼠,马
20260816222,24,14,49,47,11,36,46,鸡,红波,大,双,2026-08-16 11:03:00,羊,蛇,马,猴,猴,羊
